@relation data
@attribute V1 {'1','2'}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 {'1','2','3','4'}
@attribute V8 {'1','2','3','4'}
@attribute V9 {'1','2','3','4','5','6'}
@attribute V10 {'1','2','3'}
@attribute V11 {'1','2','3','4','5'}
@attribute V12 {'1','2','3','4'}
@attribute V13 {'1','2','3','4'}
@attribute V14 {'1','2','3'}
@attribute V15 {'1','2','3'}
@attribute V16 numeric
@attribute V17 {'1','2','3','4'}
@attribute V18 {'1','2','3','4','5'}
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 {'1','2','3'}
@attribute V22 numeric
@attribute V23 {'1','2','3'}
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute Class {'1','2'}
@data
'2',-0.294392028877595,-0.363307297076015,0.507225787295084,-0.215352800966344,-0.152620912680643,'3','3','1','2','5','4','4','2','1',-3.62896984734779e-08,'3','5',-0.130813196008711,-0.619611412289743,'2',4.66147625876997e-08,'2',1.41533491513225,-0.138902309404632,-0.0577350269189626,0.700639366855774,'2'
'1',-0.294392028877595,-0.360224542992078,1.57640959372564,0.58588630193116,-0.657704837019421,'3','1','4','1','3','4','2','2','1',-3.62896984734779e-08,'4','2',0.374177914980458,2.33626107148778,'2',-0.89116466861856,'3',-0.26852048734539,-0.138902309404632,-0.0577350269189626,0.700639366855774,'2'
'2',-0.294392028877595,-0.363154989675345,0.201744699743493,-1.1622717407543,-0.405162874850032,'1','1','3','1','3','3','1','2','1',-3.62896984734779e-08,'1','1',-1.34279186238272,-0.685211715454518,'2',4.66147625876997e-08,'1',-0.677446216411672,-0.138902309404632,-0.0577350269189626,-1.42251022967687,'2'
'1',3.38550833209234,2.74841003282115,1.42366904994984,3.35380320284981,3.3829665576908,'4','1','6','2','2','4','4','1','2',0.353767672201327,'3','5',0.172181470584791,-0.665917508641349,'3',1.99312376406338,'2',-0.26852048734539,-0.138902309404632,-0.0577350269189626,-1.42251022967687,'1'
'2',-0.294392028877595,-0.36320663038201,-1.32566073801444,1.16860564949298,0.289327521115788,'3','1','6','2','3','3','1','2','1',-3.62896984734779e-08,'4','5',2.79813524772847,-0.658199825916081,'2',4.66147625876997e-08,'2',0.118921824795308,-0.138902309404632,-0.0577350269189626,0.700639366855774,'2'
'2',-0.294392028877595,-0.364448622061289,4.07308120059837e-07,-1.60247820197025e-08,-1.89406471230339e-08,'2','1','3','1','2','3','2','2','1',-3.62896984734779e-08,'3','3',4.3765897760843e-09,5.53100596068494e-09,'2',4.66147625876997e-08,'1',-0.677446216411672,-0.138902309404632,-0.0577350269189626,0.700639366855774,'2'
'1',-0.294392028877595,-0.365463786839142,-0.409217475359679,-0.870912066973393,-0.91024679918881,'1','1','1','1','3','3','3','1','1',-3.62896984734779e-08,'3','5',-0.938798973591383,-0.673635191366616,'2',4.66147625876997e-08,'1',-0.0988755743812981,-0.138902309404632,-0.0577350269189626,0.700639366855774,'1'
'1',-0.294392028877595,-0.363630214912627,4.07308120059837e-07,-0.433872556302027,-1.89406471230339e-08,'3','1','1','1','3','4','2','2','1',-3.62896984734779e-08,'3','4',-0.231811418206545,-0.623470253652377,'2',4.66147625876997e-08,'2',-0.26852048734539,-0.138902309404632,-0.0577350269189626,0.700639366855774,'1'
'2',-0.294392028877595,-0.363339981067575,4.07308120059837e-07,0.294526628150249,0.352463011658135,'3','4','3','1','4','4','4','2','1',-3.62896984734779e-08,'3','5',-0.837800751393549,-0.704505922267687,'2',4.66147625876997e-08,'3',-0.0838742229073991,-0.138902309404632,-0.0577350269189626,0.700639366855774,'1'
'2',3.38550833209234,2.75443696086481,0.201744699743493,0.658726220376388,-1.89406471230339e-08,'1','1','1','1','5','3','1','2','1',-3.62896984734779e-08,'3','5',-0.635804306997881,-0.704505922267687,'1',-0.716359309062079,'1',-0.677446216411672,-0.138902309404632,-0.0577350269189626,-1.42251022967687,'2'
